idArret;datecreation;datedebut;datefin;nombrejour;datereprise;agent_matricule;statut
3893;13/02/2020;13/02/2020;14/02/2020;2;17/02/2020;2971;Valider
3894;13/02/2020;13/02/2020;14/02/2020;2;17/02/2020;3926;Valider
3895;13/02/2020;13/02/2020;14/02/2020;2;15/02/2020;4430;Valider
3897;14/02/2020;14/02/2020;14/02/2020;1;17/02/2020;3776;Valider
3898;14/02/2020;14/02/2020;14/02/2020;1;17/02/2020;3737;Valider
3899;14/02/2020;14/02/2020;14/02/2020;1;17/02/2020;3148;Valider
3900;14/02/2020;14/02/2020;14/02/2020;1;17/02/2020;4133;Valider
3901;17/02/2020;16/02/2020;18/02/2020;3;19/02/2020;4310;Valider
3902;17/02/2020;17/02/2020;18/02/2020;2;19/02/2020;4934;Valider
3903;17/02/2020;12/02/2020;13/02/2020;2;14/02/2020;3319;Valider
3904;17/02/2020;17/02/2020;18/02/2020;2;19/02/2020;3086;Valider
3905;17/02/2020;17/02/2020;18/02/2020;2;19/02/2020;4917;Valider
3906;17/02/2020;14/02/2020;14/02/2020;1;17/02/2020;3533;Valider
3907;17/02/2020;17/02/2020;17/02/2020;1;18/02/2020;4697;Valider
3908;17/02/2020;17/02/2020;18/02/2020;2;19/02/2020;3588;Valider
3909;17/02/2020;15/02/2020;17/02/2020;3;18/02/2020;3148;Valider
3911;17/02/2020;15/02/2020;17/02/2020;3;18/02/2020;3286;Valider
3912;17/02/2020;17/02/2020;19/02/2020;3;20/02/2020;4315;Valider
3913;18/02/2020;18/02/2020;19/02/2020;2;20/02/2020;3723;Valider
3914;18/02/2020;22/01/2020;22/01/2020;1;23/01/2020;4040;Valider
3915;18/02/2020;18/02/2020;19/02/2020;2;20/02/2020;3980;Valider
3916;18/02/2020;18/02/2020;18/02/2020;1;19/02/2020;4671;Valider
3917;18/02/2020;18/02/2020;20/02/2020;3;21/02/2020;3286;Valider
3918;18/02/2020;18/02/2020;21/02/2020;4;22/02/2020;3530;Valider
3919;18/02/2020;17/02/2020;17/02/2020;1;18/02/2020;4462;Valider
3920;18/02/2020;18/02/2020;19/02/2020;2;20/02/2020;4776;Valider
3921;18/02/2020;18/02/2020;18/02/2020;1;19/02/2020;4819;Valider
3922;18/02/2020;18/02/2020;20/02/2020;3;21/02/2020;4395;Valider
3923;18/02/2020;18/02/2020;18/02/2020;1;19/02/2020;3905;Valider
3924;18/02/2020;18/02/2020;18/02/2020;1;19/02/2020;4739;Valider
3925;19/02/2020;19/02/2020;20/02/2020;2;21/02/2020;3726;Valider
3926;19/02/2020;18/02/2020;21/02/2020;4;22/02/2020;3126;Valider
3927;19/02/2020;19/02/2020;21/02/2020;3;24/02/2020;3971;Valider
3928;19/02/2020;19/02/2020;20/02/2020;2;21/02/2020;4657;Valider
3929;19/02/2020;19/02/2020;20/02/2020;2;21/02/2020;3490;Valider
3930;19/02/2020;18/02/2020;19/02/2020;2;20/02/2020;4074;Valider
3931;19/02/2020;18/02/2020;18/02/2020;1;19/02/2020;4430;Valider
3932;19/02/2020;19/02/2020;20/02/2020;2;21/02/2020;4462;Valider
3933;19/02/2020;19/02/2020;25/02/2020;7;26/02/2020;4934;Valider
3934;19/02/2020;19/02/2020;21/02/2020;3;24/02/2020;3639;Valider
3935;19/02/2020;18/02/2020;22/02/2020;5;24/02/2020;3406;Valider
3936;20/02/2020;20/02/2020;20/02/2020;1;21/02/2020;4205;Valider
3937;20/02/2020;20/02/2020;21/02/2020;2;24/02/2020;4675;Valider
3938;20/02/2020;20/02/2020;21/02/2020;2;24/02/2020;4506;Valider
3939;20/02/2020;20/02/2020;21/02/2020;2;24/02/2020;3979;Valider
3940;20/02/2020;20/02/2020;21/02/2020;2;24/02/2020;4112;Valider
3941;20/02/2020;20/02/2020;20/02/2020;1;21/02/2020;3880;Valider
3942;20/02/2020;19/02/2020;19/02/2020;1;20/02/2020;4307;Valider
3943;20/02/2020;20/02/2020;21/02/2020;2;24/02/2020;4250;Valider
3946;20/02/2020;20/02/2020;21/02/2020;2;24/02/2020;4191;Valider
